tiempo,muestravelr_izq,velr_der,sensor_izq,sensor_frontal_izq,sensor_frontal_der,sensor_der,imu_acc_x,imu_acc_y,imu_w_x,imu_w_y,imu_m_x,imu_m_y
3403.583830,0.886600,0.357600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.620280,0.891200,0.354900,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.657288,0.895700,0.351900,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.706348,0.900100,0.348600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.750389,0.904400,0.345100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.772243,0.908600,0.341300,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.809244,0.912800,0.337200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.846306,0.916800,0.332900,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.885176,0.920800,0.328300,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.932218,0.924600,0.323500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.956750,0.928400,0.318400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3403.993416,0.932000,0.313100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
